"强化规则ID
===
Id
===
int-cs","等级
===
Level
===
int-cs","需要经验
===
NeedExp
===
int-cs","属性成长0
===
AttrGrowUp0
===
float-cs","属性成长1
===
AttrGrowUp1
===
float-cs","属性成长2
===
AttrGrowUp2
===
float-cs","属性成长3
===
AttrGrowUp3
===
float-cs","属性成长4
===
AttrGrowUp4
===
float-cs","属性成长5
===
AttrGrowUp5
===
float-cs","属性成长6
===
AttrGrowUp6
===
float-cs","属性成长7
===
AttrGrowUp7
===
float-cs","属性成长8
===
AttrGrowUp8
===
float-cs","属性成长9
===
AttrGrowUp9
===
float-cs","属性成长10
===
AttrGrowUp10
===
float-cs","属性成长11
===
AttrGrowUp11
===
float-cs","属性成长12
===
AttrGrowUp12
===
float-cs","属性成长13
===
AttrGrowUp13
===
float-cs","属性成长14
===
AttrGrowUp14
===
float-cs","属性成长15
===
AttrGrowUp15
===
float-cs","属性成长16
===
AttrGrowUp16
===
float-cs","属性成长17
===
AttrGrowUp17
===
float-cs","属性成长18
===
AttrGrowUp18
===
float-cs","属性成长19
===
AttrGrowUp19
===
float-cs","属性成长20
===
AttrGrowUp20
===
float-cs","属性成长21
===
AttrGrowUp21
===
float-cs","属性成长22
===
AttrGrowUp22
===
float-cs","属性成长23
===
AttrGrowUp23
===
float-cs","属性成长24
===
AttrGrowUp24
===
float-cs","属性成长25
===
AttrGrowUp25
===
float-cs","属性成长26
===
AttrGrowUp26
===
float-cs","属性成长27
===
AttrGrowUp27
===
float-cs","属性成长28
===
AttrGrowUp28
===
float-cs","属性成长29
===
AttrGrowUp29
===
float-cs","属性成长30
===
AttrGrowUp30
===
float-cs","属性成长31
===
AttrGrowUp31
===
float-cs"
14026,27,17375,286,198,1094,0,0,0,0,27,39,39,20,39,101,101,105,105,72,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
14027,28,20125,293,203,1124,0,0,0,0,28,40,40,20,40,104,104,108,108,74,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
14028,29,23125,302,208,1155,0,0,0,0,28,41,41,21,41,106,106,111,111,75,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
14029,30,26375,310,213,1183,0,0,0,0,29,42,42,21,42,109,109,113,113,77,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0
14030,31,29875,362,261,1554,0,0,0,0,42,52,52,26,52,137,137,141,141,102,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
14031,32,33875,370,266,1585,0,0,0,0,43,53,53,27,53,140,140,143,143,103,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
14032,33,38125,379,270,1620,0,0,0,0,43,54,54,27,54,142,142,146,146,105,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
14033,34,42625,386,275,1652,0,0,0,0,43,55,55,28,55,145,145,149,149,107,0,0,0,0,0,0,0,0,19,32,0,0,0,0,0
14034,35,47375,396,282,1682,0,0,0,0,44,56,56,28,56,147,147,152,152,108,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
14035,36,52375,403,286,1713,0,0,0,0,44,57,57,29,57,150,150,154,154,110,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
14036,37,57625,413,291,1746,0,0,0,0,45,58,58,29,58,152,152,157,157,111,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
14037,38,63125,420,296,1778,0,0,0,0,45,59,59,30,59,155,155,160,160,113,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
14038,39,68875,427,302,1815,0,0,0,0,46,60,60,30,60,157,157,162,162,114,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
14039,40,75125,437,307,1846,0,0,0,0,46,61,61,31,61,160,160,165,165,116,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0
14040,41,82000,506,370,2463,0,0,0,0,64,75,75,38,75,198,198,202,202,149,0,0,0,0,0,0,0,0,27,47,0,0,0,0,0
14041,42,89500,516,376,2497,0,0,0,0,65,76,76,38,76,201,201,205,205,151,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
14042,43,97625,523,381,2531,0,0,0,0,65,77,77,39,77,203,203,208,208,152,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
14043,44,106375,533,386,2566,0,0,0,0,66,78,78,39,78,206,206,211,211,154,0,0,0,0,0,0,0,0,28,48,0,0,0,0,0
14044,45,115125,540,392,2599,0,0,0,0,66,79,79,40,79,209,209,213,213,155,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
14045,46,124500,550,397,2639,0,0,0,0,67,80,80,40,80,211,211,216,216,157,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
14046,47,134500,557,402,2675,0,0,0,0,67,81,81,41,81,214,214,219,219,159,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
14047,48,145125,566,408,2710,0,0,0,0,68,82,82,41,82,216,216,221,221,160,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
14048,49,156375,574,413,2746,0,0,0,0,68,83,83,42,83,219,219,224,224,162,0,0,0,0,0,0,0,0,28,50,0,0,0,0,0
14049,50,168875,583,418,2781,0,0,0,0,68,84,84,42,84,221,221,227,227,163,0,0,0,0,0,0,0,0,29,50,0,0,0,0,0
14050,51,183875,672,499,3749,0,0,0,0,92,101,101,51,101,271,271,275,275,205,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
14051,52,201375,682,504,3788,0,0,0,0,93,102,102,51,102,274,274,278,278,207,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
14052,53,221375,689,509,3833,0,0,0,0,93,103,103,52,103,276,276,280,280,209,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
14053,54,243875,698,515,3872,0,0,0,0,94,104,104,52,104,279,279,283,283,210,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
14054,55,268875,708,520,3909,0,0,0,0,94,105,105,53,105,282,282,286,286,212,0,0,0,0,0,0,0,0,39,67,0,0,0,0,0
14055,56,306375,715,526,3949,0,0,0,0,95,106,106,53,106,284,284,289,289,213,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
14056,57,356375,725,531,3989,0,0,0,0,95,108,108,54,108,287,287,292,292,215,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
14057,58,418875,734,536,4029,0,0,0,0,96,109,109,55,109,290,290,295,295,216,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
14058,59,493875,742,542,4076,0,0,0,0,96,109,109,55,109,292,292,298,298,218,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
14059,60,581375,751,547,4114,0,0,0,0,96,110,110,55,110,295,295,301,301,220,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
14060,61,668875,864,646,5584,0,0,0,0,126,132,132,66,132,357,357,360,360,271,0,0,0,0,0,0,0,0,50,88,0,0,0,0,0
14061,62,756375,871,653,5628,0,0,0,0,127,134,134,67,134,360,360,363,363,273,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
14062,63,843875,881,658,5672,0,0,0,0,127,135,135,68,135,362,362,366,366,275,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
14063,64,931375,890,664,5717,0,0,0,0,128,136,136,68,136,365,365,369,369,276,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
14064,65,1018875,898,669,5760,0,0,0,0,128,137,137,69,137,368,368,372,372,278,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
14065,66,1106375,907,675,5813,0,0,0,0,129,138,138,69,138,371,371,375,375,279,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
14066,67,1193875,917,680,5859,0,0,0,0,129,139,139,70,139,373,373,378,378,281,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
14067,68,1281375,926,686,5905,0,0,0,0,130,140,140,70,140,376,376,381,381,283,0,0,0,0,0,0,0,0,52,90,0,0,0,0,0
14068,69,1368875,934,691,5952,0,0,0,0,130,141,141,71,141,379,379,384,384,284,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
14069,70,1456375,943,698,5996,0,0,0,0,131,142,142,71,142,382,382,387,387,286,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
14070,71,1543875,1061,802,7836,0,0,0,0,162,165,165,83,165,447,447,449,449,339,0,0,0,0,0,0,0,0,63,110,0,0,0,0,0
14071,72,1631375,1070,806,7887,0,0,0,0,162,166,166,83,166,449,449,452,452,341,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
14072,73,1718875,1080,813,7948,0,0,0,0,163,167,167,84,167,452,452,455,455,342,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
14073,74,1806375,1090,818,7999,0,0,0,0,163,168,168,84,168,455,455,459,459,344,0,0,0,0,0,0,0,0,64,111,0,0,0,0,0
14074,75,1893875,1099,824,8049,0,0,0,0,164,169,169,85,169,458,458,462,462,346,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
14075,76,1981375,1109,830,8101,0,0,0,0,164,170,170,85,170,461,461,465,465,347,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
14076,77,2068875,1118,835,8154,0,0,0,0,165,171,171,86,171,464,464,468,468,349,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
14077,78,2156375,1126,842,8207,0,0,0,0,165,172,172,86,172,467,467,471,471,351,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
14078,79,2243875,1135,846,8270,0,0,0,0,166,173,173,87,173,469,469,474,474,352,0,0,0,0,0,0,0,0,64,113,0,0,0,0,0
14079,80,2331375,1145,853,8320,0,0,0,0,166,174,174,87,174,472,472,477,477,354,0,0,0,0,0,0,0,0,65,113,0,0,0,0,0
14080,81,2418875,1270,962,10572,0,0,0,0,199,198,198,99,198,540,540,543,543,408,0,0,0,0,0,0,0,0,76,132,0,0,0,0,0
14081,82,2506375,1279,966,10631,0,0,0,0,199,199,199,100,199,543,543,546,546,410,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
14082,83,2593875,1289,973,10691,0,0,0,0,200,201,201,101,201,546,546,549,549,411,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
14083,84,2681375,1298,979,10750,0,0,0,0,200,202,202,101,202,549,549,552,552,413,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
14084,85,2768875,1308,984,10807,0,0,0,0,201,203,203,102,203,552,552,555,555,415,0,0,0,0,0,0,0,0,76,134,0,0,0,0,0
14085,86,2856375,1318,990,10879,0,0,0,0,201,204,204,102,204,555,555,558,558,417,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
14086,87,2943875,1327,997,10939,0,0,0,0,202,205,205,103,205,558,558,562,562,418,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
14087,88,3031375,1337,1002,11000,0,0,0,0,202,206,206,103,206,561,561,565,565,420,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
14088,89,3118875,1346,1008,11061,0,0,0,0,203,207,207,104,207,564,564,568,568,422,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
14089,90,3206375,1356,1014,11120,0,0,0,0,204,208,208,104,208,567,567,571,571,424,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
14090,91,3293875,1486,1126,13827,0,0,0,0,237,233,233,117,233,638,638,640,640,479,0,0,0,0,0,0,0,0,88,154,0,0,0,0,0
14091,92,3381375,1495,1133,13895,0,0,0,0,238,234,234,117,234,641,641,643,643,481,0,0,0,0,0,0,0,0,88,155,0,0,0,0,0
14092,93,3468875,1505,1139,13976,0,0,0,0,238,235,235,118,235,644,644,646,646,483,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
14093,94,3556375,1514,1144,14044,0,0,0,0,239,236,236,118,236,647,647,650,650,484,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
14094,95,3643875,1526,1150,14110,0,0,0,0,240,238,238,119,238,650,650,653,653,486,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
14095,96,3731375,1536,1157,14179,0,0,0,0,240,239,239,120,239,653,653,656,656,488,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
14096,97,3818875,1546,1163,14249,0,0,0,0,241,240,240,120,240,656,656,659,659,490,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
14097,98,3906375,1555,1170,14319,0,0,0,0,241,241,241,121,241,659,659,662,662,491,0,0,0,0,0,0,0,0,89,157,0,0,0,0,0
14098,99,3993875,1565,1174,14402,0,0,0,0,242,242,242,121,242,662,662,666,666,493,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
14099,100,4081375,1574,1181,14469,0,0,0,0,242,243,243,122,243,665,665,669,669,495,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
#白起,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,1,87,32,48,157,0,5,0,0,0,6,6,6,3,14,14,14,14,10,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
15001,2,100,38,56,187,0,5,0,0,0,7,7,7,4,16,16,17,17,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
15002,3,112,44,64,217,0,6,0,0,0,8,8,8,4,19,19,19,19,13,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
15003,4,125,50,73,248,0,6,0,0,0,10,10,10,5,21,21,22,22,15,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
15004,5,137,58,81,277,0,7,0,0,0,11,11,11,5,23,23,24,24,16,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0
15005,6,150,64,90,312,0,7,0,0,0,12,12,12,6,26,26,27,27,18,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
15006,7,162,70,98,343,0,8,0,0,0,13,13,13,7,28,28,29,29,19,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
15007,8,175,76,106,376,0,8,0,0,0,14,14,14,7,30,30,32,32,21,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
15008,9,200,84,115,409,0,8,0,0,0,16,16,16,8,33,33,35,35,22,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
15009,10,225,90,126,439,0,10,0,0,0,17,17,17,8,35,35,37,37,24,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
15010,11,375,108,157,553,0,14,0,0,0,22,22,22,11,46,46,48,48,33,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0
15011,12,750,114,165,586,0,16,0,0,0,23,23,23,11,48,48,50,50,34,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
15012,13,1125,122,174,622,0,16,0,0,0,23,23,23,11,51,51,53,53,36,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
15013,14,1500,128,182,654,0,17,0,0,0,24,24,24,12,53,53,55,55,37,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0
15014,15,1875,134,193,685,0,17,0,0,0,25,25,25,13,55,55,58,58,39,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
15015,16,2375,140,202,719,0,17,0,0,0,26,26,26,13,58,58,61,61,40,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
15016,17,2875,148,210,752,0,18,0,0,0,28,28,28,14,60,60,63,63,42,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0
15017,18,3625,154,218,787,0,18,0,0,0,29,29,29,14,63,63,66,66,43,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
15018,19,4375,160,227,824,0,19,0,0,0,30,30,30,15,65,65,68,68,45,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
15019,20,5125,168,238,857,0,19,0,0,0,31,31,31,16,68,68,71,71,46,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0
15020,21,6125,198,294,1100,0,30,0,0,0,40,40,40,20,87,87,90,90,63,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
15021,22,7375,204,302,1135,0,30,0,0,0,41,41,41,20,89,89,92,92,65,0,0,0,0,0,0,0,0,11,19,0,0,0,0,0
15022,23,8875,212,311,1170,0,31,0,0,0,42,42,42,21,92,92,95,95,66,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
15023,24,10625,218,319,1205,0,31,0,0,0,43,43,43,22,94,94,97,97,68,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0
15024,25,12625,224,328,1238,0,32,0,0,0,44,44,44,22,96,96,100,100,69,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
15025,26,14875,232,339,1277,0,32,0,0,0,46,46,46,23,99,99,103,103,71,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0
15026,27,17375,238,347,1313,0,32,0,0,0,47,47,47,23,101,101,105,105,72,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
15027,28,20125,244,356,1349,0,34,0,0,0,48,48,48,24,104,104,108,108,74,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
15028,29,23125,252,364,1386,0,34,0,0,0,49,49,49,25,106,106,111,111,75,0,0,0,0,0,0,0,0,12,21,0,0,0,0,0
15029,30,26375,258,372,1420,0,35,0,0,0,50,50,50,25,109,109,113,113,77,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0
15030,31,29875,302,456,1865,0,50,0,0,0,62,62,62,31,137,137,141,141,102,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
15031,32,33875,308,465,1902,0,52,0,0,0,64,64,64,32,140,140,143,143,103,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
15032,33,38125,316,473,1944,0,52,0,0,0,65,65,65,32,142,142,146,146,105,0,0,0,0,0,0,0,0,18,32,0,0,0,0,0
15033,34,42625,322,482,1982,0,52,0,0,0,66,66,66,33,145,145,149,149,107,0,0,0,0,0,0,0,0,19,32,0,0,0,0,0
15034,35,47375,330,493,2018,0,53,0,0,0,67,67,67,34,147,147,152,152,108,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
15035,36,52375,336,501,2056,0,53,0,0,0,68,68,68,34,150,150,154,154,110,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
15036,37,57625,344,510,2095,0,54,0,0,0,70,70,70,35,152,152,157,157,111,0,0,0,0,0,0,0,0,19,33,0,0,0,0,0
15037,38,63125,350,518,2134,0,54,0,0,0,71,71,71,35,155,155,160,160,113,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
15038,39,68875,356,529,2178,0,55,0,0,0,72,72,72,36,157,157,162,162,114,0,0,0,0,0,0,0,0,19,34,0,0,0,0,0
15039,40,75125,364,538,2215,0,55,0,0,0,73,73,73,37,160,160,165,165,116,0,0,0,0,0,0,0,0,20,34,0,0,0,0,0
15040,41,82000,422,647,2956,0,77,0,0,0,90,90,90,45,198,198,202,202,149,0,0,0,0,0,0,0,0,27,47,0,0,0,0,0
15041,42,89500,430,658,2996,0,78,0,0,0,91,91,91,46,201,201,205,205,151,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
15042,43,97625,436,666,3037,0,78,0,0,0,92,92,92,46,203,203,208,208,152,0,0,0,0,0,0,0,0,27,48,0,0,0,0,0
15043,44,106375,444,675,3079,0,79,0,0,0,94,94,94,47,206,206,211,211,154,0,0,0,0,0,0,0,0,28,48,0,0,0,0,0
15044,45,115125,450,686,3119,0,79,0,0,0,95,95,95,47,209,209,213,213,155,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
15045,46,124500,458,694,3167,0,80,0,0,0,96,96,96,48,211,211,216,216,157,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
15046,47,134500,464,703,3210,0,80,0,0,0,97,97,97,49,214,214,219,219,159,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
15047,48,145125,472,714,3252,0,82,0,0,0,98,98,98,49,216,216,221,221,160,0,0,0,0,0,0,0,0,28,49,0,0,0,0,0
15048,49,156375,478,722,3295,0,82,0,0,0,100,100,100,50,219,219,224,224,162,0,0,0,0,0,0,0,0,28,50,0,0,0,0,0
15049,50,168875,486,731,3337,0,82,0,0,0,101,101,101,50,221,221,227,227,163,0,0,0,0,0,0,0,0,29,50,0,0,0,0,0
15050,51,183875,560,874,4499,0,110,0,0,0,121,121,121,61,271,271,275,275,205,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
15051,52,201375,568,882,4546,0,112,0,0,0,122,122,122,61,274,274,278,278,207,0,0,0,0,0,0,0,0,38,66,0,0,0,0,0
15052,53,221375,574,890,4600,0,112,0,0,0,124,124,124,62,276,276,280,280,209,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
15053,54,243875,582,902,4646,0,113,0,0,0,125,125,125,62,279,279,283,283,210,0,0,0,0,0,0,0,0,38,67,0,0,0,0,0
15054,55,268875,590,910,4691,0,113,0,0,0,126,126,126,63,282,282,286,286,212,0,0,0,0,0,0,0,0,39,67,0,0,0,0,0
15055,56,306375,596,921,4739,0,114,0,0,0,127,127,127,64,284,284,289,289,213,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
15056,57,356375,604,930,4787,0,114,0,0,0,130,130,130,65,287,287,292,292,215,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
15057,58,418875,612,938,4835,0,115,0,0,0,131,131,131,65,290,290,295,295,216,0,0,0,0,0,0,0,0,39,68,0,0,0,0,0
15058,59,493875,618,949,4891,0,115,0,0,0,131,131,131,65,292,292,298,298,218,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
15059,60,581375,626,958,4937,0,115,0,0,0,132,132,132,66,295,295,301,301,220,0,0,0,0,0,0,0,0,39,69,0,0,0,0,0
15060,61,668875,720,1131,6701,0,151,0,0,0,158,158,158,79,357,357,360,360,271,0,0,0,0,0,0,0,0,50,88,0,0,0,0,0
15061,62,756375,726,1142,6754,0,152,0,0,0,161,161,161,80,360,360,363,363,273,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
15062,63,843875,734,1151,6806,0,152,0,0,0,162,162,162,81,362,362,366,366,275,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
15063,64,931375,742,1162,6860,0,154,0,0,0,163,163,163,82,365,365,369,369,276,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
15064,65,1018875,748,1170,6912,0,154,0,0,0,164,164,164,82,368,368,372,372,278,0,0,0,0,0,0,0,0,51,89,0,0,0,0,0
15065,66,1106375,756,1182,6976,0,155,0,0,0,166,166,166,83,371,371,375,375,279,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
15066,67,1193875,764,1190,7031,0,155,0,0,0,167,167,167,83,373,373,378,378,281,0,0,0,0,0,0,0,0,51,90,0,0,0,0,0
15067,68,1281375,772,1201,7086,0,156,0,0,0,168,168,168,84,376,376,381,381,283,0,0,0,0,0,0,0,0,52,90,0,0,0,0,0
15068,69,1368875,778,1210,7142,0,156,0,0,0,169,169,169,85,379,379,384,384,284,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
15069,70,1456375,786,1221,7195,0,157,0,0,0,170,170,170,85,382,382,387,387,286,0,0,0,0,0,0,0,0,52,91,0,0,0,0,0
15070,71,1543875,884,1403,9403,0,194,0,0,0,198,198,198,99,447,447,449,449,339,0,0,0,0,0,0,0,0,63,110,0,0,0,0,0
15071,72,1631375,892,1411,9464,0,194,0,0,0,199,199,199,100,449,449,452,452,341,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
15072,73,1718875,900,1422,9538,0,196,0,0,0,200,200,200,100,452,452,455,455,342,0,0,0,0,0,0,0,0,63,111,0,0,0,0,0
15073,74,1806375,908,1431,9599,0,196,0,0,0,202,202,202,101,455,455,459,459,344,0,0,0,0,0,0,0,0,64,111,0,0,0,0,0
15074,75,1893875,916,1442,9659,0,197,0,0,0,203,203,203,101,458,458,462,462,346,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
15075,76,1981375,924,1453,9721,0,197,0,0,0,204,204,204,102,461,461,465,465,347,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
15076,77,2068875,932,1462,9785,0,198,0,0,0,205,205,205,103,464,464,468,468,349,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
15077,78,2156375,938,1473,9848,0,198,0,0,0,206,206,206,103,467,467,471,471,351,0,0,0,0,0,0,0,0,64,112,0,0,0,0,0
15078,79,2243875,946,1481,9924,0,199,0,0,0,208,208,208,104,469,469,474,474,352,0,0,0,0,0,0,0,0,64,113,0,0,0,0,0
15079,80,2331375,954,1492,9984,0,199,0,0,0,209,209,209,104,472,472,477,477,354,0,0,0,0,0,0,0,0,65,113,0,0,0,0,0
15080,81,2418875,1058,1683,12686,0,239,0,0,0,238,238,238,119,540,540,543,543,408,0,0,0,0,0,0,0,0,76,132,0,0,0,0,0
15081,82,2506375,1066,1691,12757,0,239,0,0,0,239,239,239,119,543,543,546,546,410,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
15082,83,2593875,1074,1702,12829,0,240,0,0,0,241,241,241,121,546,546,549,549,411,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
15083,84,2681375,1082,1714,12900,0,240,0,0,0,242,242,242,121,549,549,552,552,413,0,0,0,0,0,0,0,0,76,133,0,0,0,0,0
15084,85,2768875,1090,1722,12968,0,241,0,0,0,244,244,244,122,552,552,555,555,415,0,0,0,0,0,0,0,0,76,134,0,0,0,0,0
15085,86,2856375,1098,1733,13055,0,241,0,0,0,245,245,245,122,555,555,558,558,417,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
15086,87,2943875,1106,1744,13127,0,242,0,0,0,246,246,246,123,558,558,562,562,418,0,0,0,0,0,0,0,0,77,134,0,0,0,0,0
15087,88,3031375,1114,1753,13200,0,242,0,0,0,247,247,247,124,561,561,565,565,420,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
15088,89,3118875,1122,1764,13273,0,244,0,0,0,248,248,248,124,564,564,568,568,422,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
15089,90,3206375,1130,1775,13344,0,245,0,0,0,250,250,250,125,567,567,571,571,424,0,0,0,0,0,0,0,0,77,135,0,0,0,0,0
15090,91,3293875,1238,1971,16592,0,284,0,0,0,280,280,280,140,638,638,640,640,479,0,0,0,0,0,0,0,0,88,154,0,0,0,0,0
15091,92,3381375,1246,1982,16674,0,286,0,0,0,281,281,281,140,641,641,643,643,481,0,0,0,0,0,0,0,0,88,155,0,0,0,0,0
15092,93,3468875,1254,1994,16771,0,286,0,0,0,282,282,282,141,644,644,646,646,483,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
15093,94,3556375,1262,2002,16853,0,287,0,0,0,283,283,283,142,647,647,650,650,484,0,0,0,0,0,0,0,0,89,155,0,0,0,0,0
15094,95,3643875,1272,2013,16932,0,288,0,0,0,286,286,286,143,650,650,653,653,486,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
15095,96,3731375,1280,2024,17015,0,288,0,0,0,287,287,287,143,653,653,656,656,488,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
15096,97,3818875,1288,2036,17099,0,289,0,0,0,288,288,288,144,656,656,659,659,490,0,0,0,0,0,0,0,0,89,156,0,0,0,0,0
15097,98,3906375,1296,2047,17183,0,289,0,0,0,289,289,289,145,659,659,662,662,491,0,0,0,0,0,0,0,0,89,157,0,0,0,0,0
15098,99,3993875,1304,2055,17282,0,290,0,0,0,290,290,290,145,662,662,666,666,493,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
15099,100,4081375,1312,2066,17363,0,290,0,0,0,292,292,292,146,665,665,669,669,495,0,0,0,0,0,0,0,0,90,157,0,0,0,0,0
#哪咤,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16000,1,87,42,24,131,0,0,0,4,0,5,3,5,5,14,14,14,14,10,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
16001,2,100,49,28,156,0,0,0,4,0,6,3,6,6,16,16,17,17,12,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
16002,3,112,57,32,181,0,0,0,5,0,7,4,7,7,19,19,19,19,13,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0
