"关卡ID
===
Id
===
int-cs","关卡名称
===
Name
===
string-cs","关卡图标
===
Icon
===
string-cs","背景描述
===
BgDesc
===
string-cs","目标描述
===
TargetDesc
===
string-cs","开启描述
===
ActiveDesc
===
string-cs","关卡类型
===
StageType
===
int-cs","战斗ID
===
FightID
===
int-cs","开启等级
===
NeedLevel
===
int-cs","开启星数
===
NeedStars
===
int-cs","前置关卡
===
PreStage
===
int-cs","体力消耗
===
NeedAP
===
int-cs","关卡失败体力消耗
===
PunishAP
===
int-cs","消耗道具ID
===
NeedItemID
===
int-cs","消耗道具数量
===
NeedItemCount
===
int-cs","消耗货币种类
===
NeedMoneyType
===
int-cs","货币数量
===
NeedMoneyCount
===
int-cs","每日次数
===
MaxCountOfDay
===
int-cs","每日免费扫荡次数
===
MaxFreeSweepCountOfDay
===
int-cs","掉落物品预览0
===
DropItemPreviews0
===
int-cs","掉落物品预览1
===
DropItemPreviews1
===
int-cs","掉落物品预览2
===
DropItemPreviews2
===
int-cs","通关奖励0
===
PassAward0
===
int-cs","通关奖励1
===
PassAward1
===
int-cs","通关奖励2
===
PassAward2
===
int-cs","通关奖励3
===
PassAward3
===
int-cs","通关奖励4
===
PassAward4
===
int-cs","扫荡奖励0
===
SweepAwards0
===
int-cs","扫荡奖励1
===
SweepAwards1
===
int-cs","扫荡奖励2
===
SweepAwards2
===
int-cs","扫荡奖励3
===
SweepAwards3
===
int-cs","扫荡奖励4
===
SweepAwards4
===
int-cs","1星任务0
===
StarTasks0
===
int-cs","1星任务1
===
StarTasks1
===
int-cs","1星任务2
===
StarTasks2
===
int-cs","掉落奖励0.Id
===
DropAward0.DropId
===
int-cs","掉落奖励0.数量
===
DropAward0.num
===
int-cs","掉落奖励1.Id
===
DropAward1.DropId
===
int-cs","掉落奖励1.数量
===
DropAward1.num
===
int-cs","掉落奖励2.Id
===
DropAward2.DropId
===
int-cs","掉落奖励2.数量
===
DropAward2.num
===
int-cs","掉落奖励3.Id
===
DropAward3.DropId
===
int-cs","掉落奖励3.数量
===
DropAward3.num
===
int-cs","掉落奖励4.Id
===
DropAward4.DropId
===
int-cs","掉落奖励4.数量
===
DropAward4.num
===
int-cs"
551,精英_1_1,Stage_ShaMo_02,,,,0,202011,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5201,-1,-1,-1,-1,5201,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
552,精英_1_2,Stage_ShaMo_02,,,,0,202012,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5202,-1,-1,-1,-1,5202,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
553,精英_1_3,Stage_ShaMo_02,,,,0,202013,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5203,-1,-1,-1,-1,5203,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
554,精英_1_4,Stage_ShaMo_02,,,,0,202014,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5204,-1,-1,-1,-1,5204,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
555,精英_1_5,Stage_ShaMo_02,,,,0,202015,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5205,-1,-1,-1,-1,5205,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
556,精英_1_1,Stage_BingYuan_01,,,,0,202021,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5201,-1,-1,-1,-1,5201,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
557,精英_1_2,Stage_BingYuan_01,,,,0,202022,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5202,-1,-1,-1,-1,5202,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
558,精英_1_3,Stage_BingYuan_01,,,,0,202023,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5203,-1,-1,-1,-1,5203,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
559,精英_1_4,Stage_BingYuan_01,,,,0,202024,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5204,-1,-1,-1,-1,5204,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
560,精英_1_5,Stage_BingYuan_01,,,,0,202025,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5205,-1,-1,-1,-1,5205,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
561,精英_1_1,Stage_CaoYuan_02,,,,0,202031,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5201,-1,-1,-1,-1,5201,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
562,精英_1_2,Stage_CaoYuan_02,,,,0,202032,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5202,-1,-1,-1,-1,5202,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
563,精英_1_3,Stage_CaoYuan_02,,,,0,202033,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5203,-1,-1,-1,-1,5203,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
564,精英_1_4,Stage_CaoYuan_02,,,,0,202034,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5204,-1,-1,-1,-1,5204,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
565,精英_1_5,Stage_CaoYuan_02,,,,0,202035,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5205,-1,-1,-1,-1,5205,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
566,精英_1_1,Stage_DiXiaCheng_04,,,,0,202041,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5201,-1,-1,-1,-1,5201,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
567,精英_1_2,Stage_DiXiaCheng_04,,,,0,202042,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5202,-1,-1,-1,-1,5202,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
568,精英_1_3,Stage_DiXiaCheng_04,,,,0,202043,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5203,-1,-1,-1,-1,5203,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
569,精英_1_4,Stage_DiXiaCheng_04,,,,0,202044,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5204,-1,-1,-1,-1,5204,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
570,精英_1_5,Stage_DiXiaCheng_04,,,,0,202045,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,51000,51001,-1,5205,-1,-1,-1,-1,5205,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
581,无双乱斗_1_1,Stage_JingJiChang,,,,0,203011,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5401,-1,-1,-1,-1,5401,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
582,无双乱斗_1_2,Stage_JingJiChang,,,,0,203012,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5402,-1,-1,-1,-1,5402,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
583,无双乱斗_1_3,Stage_JingJiChang,,,,0,203013,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5403,-1,-1,-1,-1,5403,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
584,无双乱斗_1_4,Stage_JingJiChang,,,,0,203014,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5404,-1,-1,-1,-1,5404,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
585,无双乱斗_1_5,Stage_JingJiChang,,,,0,203015,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5405,-1,-1,-1,-1,5405,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
586,无双乱斗_1_1,Stage_01_02,,,,0,203021,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5401,-1,-1,-1,-1,5401,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
587,无双乱斗_1_2,Stage_01_02,,,,0,203022,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5402,-1,-1,-1,-1,5402,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
588,无双乱斗_1_3,Stage_01_02,,,,0,203023,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5403,-1,-1,-1,-1,5403,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
589,无双乱斗_1_4,Stage_01_02,,,,0,203024,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5404,-1,-1,-1,-1,5404,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
590,无双乱斗_1_5,Stage_01_02,,,,0,203025,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5405,-1,-1,-1,-1,5405,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
591,无双乱斗_1_1,Stage_01_01,,,,0,203031,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5401,-1,-1,-1,-1,5401,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
592,无双乱斗_1_2,Stage_01_01,,,,0,203032,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5402,-1,-1,-1,-1,5402,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
593,无双乱斗_1_3,Stage_01_01,,,,0,203033,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5403,-1,-1,-1,-1,5403,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
594,无双乱斗_1_4,Stage_01_01,,,,0,203034,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5404,-1,-1,-1,-1,5404,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
595,无双乱斗_1_5,Stage_01_01,,,,0,203035,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,31000,31001,-1,5405,-1,-1,-1,-1,5405,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第一章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,蛮荒伊始,Stage_BingYuan_01,曾经的绿洲变成了如今的荒漠，漫野的鲜花变成了如今的尸骸四布，就连商朝的军营都成了响马们的聚集地。这个魔王肆虐的混乱世界啊！,击败貂蝉,,0,1001,-1,-1,-1,8,1,-1,-1,-1,-1,-1,10,200000,30010,-1,101,145,2002,3000,4000,101,145,2002,3000,4000,10010,10011,10012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
1002,助纣为虐,Stage_ShaMo_02,进入盘蛇山脉的最深处，就能找到为虎作伥的商周妖巫师申公豹，只是不知他邪恶的巫法在做什么祟，解决它商朝就恢复了正常吧？,击败曹操,,0,1011,-1,-1,1001,8,1,-1,-1,-1,-1,-1,10,200000,30020,-1,101,131,2003,3000,4000,101,131,2003,3000,4000,10020,10021,10022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
1003,旗鼓相当,Stage_CaoYuan_03,万恶的巫咒虽然已经解开，但魔王附身于纣王与妲己心中的恶欲却无法解开。历史终要归于正位，击破纣王的大军就在牧野。,击败杨戬,,0,1021,-1,-1,1002,8,1,-1,-1,-1,-1,-1,10,300000,30030,-1,102,146,2004,3000,4000,102,146,2004,3000,4000,10030,10031,10032,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
1004,力挽狂澜,Stage_DiXiaCheng_05,胜利的脚步越来越近了，终究会迎来曙光，不过小心。,击败哪吒,,0,1031,-1,-1,1003,8,1,-1,-1,-1,-1,-1,10,300000,30015,-1,102,116,2005,3000,4000,102,116,2005,3000,4000,10040,10041,10042,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
1005,倾尽天下,Stage_ShaMo_08,朝歌城外，兵临城下。商的末日代表一个罪恶的终结，也代表历史踏入正轨的第一步。,击败妲己,,0,1041,-1,-1,1004,8,1,-1,-1,-1,-1,-1,10,400000,30000,-1,103,115,2006,3000,4000,103,115,2006,3000,4000,10050,10051,10052,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
1006,盘蛇山脉,Stage_CaoYuan_08,妲己与纣王就在龙德殿内，终要来临的胜利就在眼前呢，与西周的将士一起终结了吧,击败护卫队长,,0,1051,-1,-1,1005,8,1,-1,-1,-1,-1,-1,10,400000,30005,-1,103,130,2007,3000,4000,103,130,2007,3000,4000,10060,10061,10062,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,尊王攘夷,Stage_ShaMo_13,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,击败雷震子,,0,2001,-1,-1,-1,8,1,-1,-1,-1,-1,100,10,500000,30025,-1,104,117,2008,3000,4000,104,117,2008,3000,4000,20010,20011,20012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
2002,纷争割据,Stage_CaoYuan_01,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,击败墨麒麟,,0,2011,-1,-1,2001,8,1,-1,-1,-1,-1,100,10,500000,30015,-1,104,116,2009,3001,4001,104,116,2009,3001,4001,20020,20021,20022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
2003,当世名将,Stage_01_01,刘邦兵败穷途末路，守护历史的命脉。,击败闻仲,,0,2021,-1,-1,2002,8,1,-1,-1,-1,-1,100,10,111000,30006,-1,105,133,2010,3001,4001,105,133,2010,3001,4001,20030,20031,20032,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,希望之光,Stage_01_02,乌江河岸，英雄末路。,击败妲己和纣王,,0,2031,-1,-1,2003,8,1,-1,-1,-1,-1,100,10,111000,30021,-1,105,134,2011,3001,4001,105,134,2011,3001,4001,20040,20041,20042,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
2005,一鸣惊人,Stage_ShaMo_12,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,击败拳师队长,,0,2041,-1,-1,2004,8,1,-1,-1,-1,-1,100,10,211000,30011,-1,106,147,2012,3001,4001,106,147,2012,3001,4001,20050,20051,20052,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
2006,退避三舍,Stage_DiXiaCheng_03,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,击败白起,,0,2051,-1,-1,2005,8,1,-1,-1,-1,-1,100,10,211000,30031,-1,106,148,2013,3001,4001,106,148,2013,3001,4001,20060,20061,20062,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,亲政加冕,Stage_DiXiaCheng_01,,击败鲁班,,0,3001,-1,-1,-1,8,1,-1,-1,-1,-1,100,10,311000,30016,-1,107,119,2014,3001,4001,107,119,2014,3001,4001,30010,30011,30012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3002,调兵遣将,Stage_DiXiaCheng_01,,击败闻仲,,0,3011,-1,-1,3001,8,1,-1,-1,-1,-1,100,10,311000,30011,-1,107,147,2015,3001,4001,107,147,2015,3001,4001,30020,30021,30022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3003,长平之战,Stage_CaoYuan_02,,,,0,3021,-1,-1,3002,8,1,-1,-1,-1,-1,100,10,411000,30001,-1,108,118,2016,3001,4001,108,118,2016,3001,4001,30030,30031,30032,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3004,天下合纵,Stage_BingYuan_05,,击败墨麒麟,,0,3031,-1,-1,3003,8,1,-1,-1,-1,-1,100,10,411000,30036,-1,108,135,2017,3001,4001,108,135,2017,3001,4001,30040,30041,30042,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3005,龙城飞将,Stage_DiXiaCheng_03,,,,0,3041,-1,-1,3004,8,1,-1,-1,-1,-1,100,10,511000,30026,-1,109,120,2018,3001,4001,109,120,2018,3001,4001,30050,30051,30052,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3006,各个击破,Stage_ShaMo_07,,击败西施,,0,3051,-1,-1,3005,8,1,-1,-1,-1,-1,100,10,511000,30016,-1,109,119,2019,3002,4002,109,119,2019,3002,4002,30060,30061,30062,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3007,一统中原,Stage_CaoYuan_08,,,,0,3061,-1,-1,3006,8,1,-1,-1,-1,-1,100,10,121000,30006,-1,110,133,2020,3002,4002,110,133,2020,3002,4002,30070,30071,30072,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
3008,初现锋芒,Stage_ShaMo_15,,,,0,3071,-1,-1,3007,8,1,-1,-1,-1,-1,100,10,121000,30021,-1,110,134,2021,3002,4002,110,134,2021,3002,4002,30080,30081,30082,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第四章,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,王陵深处,Stage_BingYuan_02,,,32级开启,0,4001,32,-1,-1,8,1,-1,-1,-1,-1,100,10,221000,30011,-1,111,147,2022,3002,4002,111,147,2022,3002,4002,40010,40011,40012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
4002,力拔山兮,Stage_CaoYuan_01,,,,0,4011,-1,-1,4001,8,1,-1,-1,-1,-1,100,10,221000,30031,-1,111,148,2023,3002,4002,111,148,2023,3002,4002,40020,40021,40022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
4003,赴宴鸿门,Stage_ShaMo_01,,,,0,4021,-1,-1,4002,8,1,-1,-1,-1,-1,100,10,321000,30016,-1,112,119,2024,3002,4002,112,119,2024,3002,4002,40030,40031,40032,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
4004,刘邦危难,Stage_CaoYuan_04,,,,0,4031,-1,-1,4003,8,1,-1,-1,-1,-1,100,10,321000,30011,-1,112,147,2025,3002,4002,112,147,2025,3002,4002,40040,40041,40042,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
4005,垓下之战,Stage_ShaMo_15,,,,0,4041,-1,-1,4004,8,1,-1,-1,-1,-1,100,10,421000,30001,-1,113,118,2026,3002,4002,113,118,2026,3002,4002,40050,40051,40052,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
4006,魂灭乌江,Stage_DiXiaCheng_04,,,,0,4051,-1,-1,4005,8,1,-1,-1,-1,-1,100,10,421000,30036,-1,113,135,2027,3002,4002,113,135,2027,3002,4002,40060,40061,40062,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
4007,合肥会战,Stage_ShaMo_14,,,,0,4061,-1,-1,4006,8,1,-1,-1,-1,-1,100,10,521000,30026,-1,114,120,2028,3002,4002,114,120,2028,3002,4002,40070,40071,40072,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
4008,夷陵之战,Stage_DiXiaCheng_02,,,,0,4071,-1,-1,4007,8,1,-1,-1,-1,-1,100,10,521000,30016,-1,114,119,2029,3003,4003,114,119,2029,3003,4003,40080,40081,40082,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#精英行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第一章精英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101001,蛮荒伊始-精英,Stage_BingYuan_01,曾经的绿洲变成了如今的荒漠，漫野的鲜花变成了如今的尸骸四布，就连商朝的军营都成了响马们的聚集地。这个魔王肆虐的混乱世界啊！,击败貂蝉,通关【倾尽天下】普通难度后开启,1,101001,-1,-1,1005,8,2,-1,-1,-1,-1,5,3,90005,20000,80081,1005,235,155,2509,3501,1005,235,155,2509,3501,1010010,1010011,1010012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
101002,助纣为虐-精英,Stage_ShaMo_02,进入盘蛇山脉的最深处，就能找到为虎作伥的商周妖巫师申公豹，只是不知他邪恶的巫法在做什么祟，解决它商朝就恢复了正常吧？,击败曹操,,1,101011,-1,-1,101001,8,2,-1,-1,-1,-1,5,3,90014,20050,80082,1014,238,156,2510,3501,1014,238,156,2510,3501,1010020,1010021,1010022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
101003,旗鼓相当-精英,Stage_CaoYuan_03,万恶的巫咒虽然已经解开，但魔王附身于纣王与妲己心中的恶欲却无法解开。历史终要归于正位，击破纣王的大军就在牧野。,击败杨戬,,1,101021,-1,-1,101002,8,2,-1,-1,-1,-1,5,3,90003,20000,80083,1003,235,157,2511,3501,1003,235,157,2511,3501,1010030,1010031,1010032,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
101004,力挽狂澜-精英,Stage_DiXiaCheng_05,胜利的脚步越来越近了，终究会迎来曙光，不过小心。,击败哪吒,,1,101031,-1,-1,101003,8,2,-1,-1,-1,-1,5,3,90001,20050,80084,1001,238,158,2512,3501,1001,238,158,2512,3501,1010040,1010041,1010042,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
101005,倾尽天下-精英,Stage_ShaMo_08,朝歌城外，兵临城下。商的末日代表一个罪恶的终结，也代表历史踏入正轨的第一步。,击败妲己,,1,101041,-1,-1,101004,8,2,-1,-1,-1,-1,5,3,90002,20000,80085,1002,235,159,2513,3501,1002,235,159,2513,3501,1010050,1010051,1010052,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
101006,盘蛇山脉-精英,Stage_CaoYuan_08,妲己与纣王就在龙德殿内，终要来临的胜利就在眼前呢，与西周的将士一起终结了吧,击败护卫队长,,1,101051,-1,-1,101005,8,2,-1,-1,-1,-1,5,3,90202,20050,80101,1202,238,175,2514,3501,1202,238,175,2514,3501,1010060,1010061,1010062,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第二章精英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102001,尊王攘夷-精英,Stage_ShaMo_13,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,击败雷震子,,1,102001,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,90004,20000,80102,1004,235,176,2515,3501,1004,235,176,2515,3501,1020010,1020011,1020012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
102002,纷争割据-精英,Stage_CaoYuan_01,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,击败墨麒麟,,1,102011,-1,-1,102001,8,2,-1,-1,-1,-1,5,3,90003,20050,80103,1003,238,177,2516,3501,1003,238,177,2516,3501,1020020,1020021,1020022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
102003,当世名将-精英,Stage_01_01,刘邦兵败穷途末路，守护历史的命脉。,击败闻仲,,1,102021,-1,-1,102002,8,2,-1,-1,-1,-1,5,3,90013,20000,80104,1013,235,178,2517,3501,1013,235,178,2517,3501,1020030,1020031,1020032,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
102004,希望之光-精英,Stage_01_02,乌江河岸，英雄末路。,击败妲己和纣王,,1,102031,-1,-1,102003,8,2,-1,-1,-1,-1,5,3,90001,20050,80105,1001,238,179,2518,3501,1001,238,179,2518,3501,1020040,1020041,1020042,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
102005,一鸣惊人-精英,Stage_ShaMo_12,难怪千年来难寻秦始皇的棺木，原来他并不在墓穴之中，而且墓穴有人闯入过，会是谁呢？最坏的结果就是…,击败拳师队长,,1,102041,-1,-1,102004,8,2,-1,-1,-1,-1,5,3,90002,20000,80121,1002,235,195,2519,3502,1002,235,195,2519,3502,1020050,1020051,1020052,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
102006,退避三舍-精英,Stage_DiXiaCheng_03,看样子最坏的结果还是来了，项羽在秦皇陵中受到恶欲所控，并获得了强大的妖邪之力。,击败白起,,1,102051,-1,-1,102005,8,2,-1,-1,-1,-1,5,3,90202,20050,80122,1202,238,196,2520,3502,1202,238,196,2520,3502,1020060,1020061,1020062,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
#第三章精英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103001,亲政加冕-精英,Stage_DiXiaCheng_01,,击败鲁班,,1,103001,-1,-1,-1,8,2,-1,-1,-1,-1,5,3,90005,20100,80123,1005,241,197,2521,3502,1005,241,197,2521,3502,1030010,1030011,1030012,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
103002,调兵遣将-精英,Stage_DiXiaCheng_01,,击败闻仲,,1,103011,-1,-1,103001,8,2,-1,-1,-1,-1,5,3,90001,20150,80124,1001,244,198,2522,3502,1001,244,198,2522,3502,1030020,1030021,1030022,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
103003,长平之战-精英,Stage_CaoYuan_02,,,,1,103021,-1,-1,103002,8,2,-1,-1,-1,-1,5,3,90014,20200,80125,1014,247,199,2523,3502,1014,247,199,2523,3502,1030030,1030031,1030032,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
103004,天下合纵-精英,Stage_BingYuan_05,,击败墨麒麟,,1,103031,-1,-1,103003,8,2,-1,-1,-1,-1,5,3,90003,20250,80141,1003,250,215,2524,3502,1003,250,215,2524,3502,1030040,1030041,1030042,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
103005,龙城飞将-精英,Stage_DiXiaCheng_03,,,,1,103041,-1,-1,103004,8,2,-1,-1,-1,-1,5,3,90004,20100,80142,1004,241,216,2525,3502,1004,241,216,2525,3502,1030050,1030051,1030052,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
103006,各个击破-精英,Stage_ShaMo_07,,击败西施,,1,103051,-1,-1,103005,8,2,-1,-1,-1,-1,5,3,90202,20150,80143,1202,244,217,2526,3502,1202,244,217,2526,3502,1030060,1030061,1030062,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
