"Id
===
Id
===
int-cs","名称
===
Name
===
string-cs","物品类型
===
Type
===
int-cs","品质
===
Quality
===
int-cs","展示ID(ShowTable)
===
ShowID
===
int-c","掉落时展示ID(ShowTable)
===
DropShowID
===
int-c","道具描述
===
GameItemDesc
===
string-cs","买入价格
===
BuyingRate
===
int-cs","卖出价格
===
SellingRate
===
int-cs","出售提示
===
SellWarn
===
int-c","可销毁
===
CanDelete
===
int-cs","堆叠上限
===
StackDepth
===
int-cs","经验(装备所需)
===
Exp
===
int-cs","等级需求
===
RequiredLevel
===
int-cs","使用规则
===
UseRules
===
int-cs","作用时间
===
ActionTime
===
int-cs","道具作用id
===
ActionId
===
int-cs","道具参数配置0.参数
===
ItemConfig0.Effect
===
int-cs","道具参数配置0.说明
===
ItemConfig0.Explain
===
string-cs","道具参数配置1.参数
===
ItemConfig1.Effect
===
int-cs","道具参数配置1.说明
===
ItemConfig1.Explain
===
string-cs","道具参数配置2.参数
===
ItemConfig2.Effect
===
int-cs","道具参数配置2.说明
===
ItemConfig2.Explain
===
string-cs","道具参数配置3.参数
===
ItemConfig3.Effect
===
int-cs","道具参数配置3.说明
===
ItemConfig3.Explain
===
string-cs","道具参数配置4.参数
===
ItemConfig4.Effect
===
int-cs","道具参数配置4.说明
===
ItemConfig4.Explain
===
string-cs","道具参数配置5.参数
===
ItemConfig5.Effect
===
int-cs","道具参数配置5.说明
===
ItemConfig5.Explain
===
string-cs","道具参数配置6.参数
===
ItemConfig6.Effect
===
int-cs","道具参数配置6.说明
===
ItemConfig6.Explain
===
string-cs","道具参数配置7.参数
===
ItemConfig7.Effect
===
int-cs","道具参数配置7.说明
===
ItemConfig7.Explain
===
string-cs","道具参数配置8.参数
===
ItemConfig8.Effect
===
int-cs","道具参数配置8.说明
===
ItemConfig8.Explain
===
string-cs","道具参数配置9.参数
===
ItemConfig9.Effect
===
int-cs","道具参数配置9.说明
===
ItemConfig9.Explain
===
string-cs","道具参数配置10.参数
===
ItemConfig10.Effect
===
int-cs","道具参数配置10.说明
===
ItemConfig10.Explain
===
string-cs","道具参数配置11.参数
===
ItemConfig11.Effect
===
int-cs","道具参数配置11.说明
===
ItemConfig11.Explain
===
string-cs","道具参数配置12.参数
===
ItemConfig12.Effect
===
int-cs","道具参数配置12.说明
===
ItemConfig12.Explain
===
string-cs","道具参数配置13.参数
===
ItemConfig13.Effect
===
int-cs","道具参数配置13.说明
===
ItemConfig13.Explain
===
string-cs","道具参数配置14.参数
===
ItemConfig14.Effect
===
int-cs","道具参数配置14.说明
===
ItemConfig14.Explain
===
string-cs","道具参数配置15.参数
===
ItemConfig15.Effect
===
int-cs","道具参数配置15.说明
===
ItemConfig15.Explain
===
string-cs","道具参数配置16.参数
===
ItemConfig16.Effect
===
int-cs","道具参数配置16.说明
===
ItemConfig16.Explain
===
string-cs","道具参数配置17.参数
===
ItemConfig17.Effect
===
int-cs","道具参数配置17.说明
===
ItemConfig17.Explain
===
string-cs","道具参数配置18.参数
===
ItemConfig18.Effect
===
int-cs","道具参数配置18.说明
===
ItemConfig18.Explain
===
string-cs","道具参数配置19.参数
===
ItemConfig19.Effect
===
int-cs","道具参数配置19.说明
===
ItemConfig19.Explain
===
string-cs","出处
===
ComeFrom
===
string-c","可合成Id(用;分开)
===
CanSyntheticId
===
string-c"
20056,七级冥皇石,2,1,1017,1000,"可镶嵌在装备上的宝石。",26780,268,1,0,99999,20,19,1,1,1,1,,20057,,3,,0,,13,,122,,-1,,2678,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20017
20057,八级冥皇石,2,2,1018,1000,"可镶嵌在装备上的宝石。",34990,350,1,0,99999,25,22,1,1,1,1,,20058,,3,,0,,13,,140,,-1,,3499,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20018
20058,九级冥皇石,2,2,1019,1000,"可镶嵌在装备上的宝石。",44280,443,1,0,99999,25,25,1,1,1,1,,20059,,3,,0,,13,,157,,-1,,4428,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20019
20059,十级冥皇石,2,2,1020,1000,"可镶嵌在装备上的宝石。",54680,547,1,0,99999,25,28,1,1,1,1,,-1,,3,,0,,13,,175,,-1,,5468,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20100,一级补天石,2,0,1021,1000,"可镶嵌在装备上的宝石。",540,5,1,0,99999,15,1,1,1,1,2,,20101,,3,,0,,4,,60,,-1,,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,103001;103005,20021
20101,二级补天石,2,0,1022,1000,"可镶嵌在装备上的宝石。",2180,22,1,0,99999,15,4,1,1,1,2,,20102,,3,,0,,4,,120,,-1,,218,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,104003,20022
20102,三级补天石,2,0,1023,1000,"可镶嵌在装备上的宝石。",4920,49,1,0,99999,15,7,1,1,1,2,,20103,,3,,0,,4,,180,,-1,,492,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20023
20103,四级补天石,2,0,1024,1000,"可镶嵌在装备上的宝石。",8740,87,1,0,99999,15,10,1,1,1,2,,20104,,3,,0,,4,,240,,-1,,874,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20024
20104,五级补天石,2,1,1025,1000,"可镶嵌在装备上的宝石。",13670,137,1,0,99999,20,13,1,1,1,2,,20105,,3,,0,,4,,300,,-1,,1367,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20105,六级补天石,2,1,1026,1000,"可镶嵌在装备上的宝石。",19680,197,1,0,99999,20,16,1,1,1,2,,20106,,3,,0,,4,,360,,-1,,1968,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20026
20106,七级补天石,2,1,1027,1000,"可镶嵌在装备上的宝石。",26780,268,1,0,99999,20,19,1,1,1,2,,20107,,3,,0,,4,,420,,-1,,2678,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20027
20107,八级补天石,2,2,1028,1000,"可镶嵌在装备上的宝石。",34990,350,1,0,99999,25,22,1,1,1,2,,20108,,3,,0,,4,,480,,-1,,3499,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20028
20108,九级补天石,2,2,1029,1000,"可镶嵌在装备上的宝石。",44280,443,1,0,99999,25,25,1,1,1,2,,20109,,3,,0,,4,,540,,-1,,4428,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20029
20109,十级补天石,2,2,1030,1000,"可镶嵌在装备上的宝石。",54680,547,1,0,99999,25,28,1,1,1,2,,-1,,3,,0,,4,,600,,-1,,5468,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20150,一级寒冰石,2,0,1031,1000,"可镶嵌在装备上的宝石。",540,5,1,0,99999,15,1,1,1,1,3,,20151,,3,,0,,5,,60,,-1,,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,103002;103006,20031
20151,二级寒冰石,2,0,1032,1000,"可镶嵌在装备上的宝石。",2180,22,1,0,99999,15,4,1,1,1,3,,20152,,3,,0,,5,,120,,-1,,218,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,104004,20032
20152,三级寒冰石,2,0,1033,1000,"可镶嵌在装备上的宝石。",4920,49,1,0,99999,15,7,1,1,1,3,,20153,,3,,0,,5,,180,,-1,,492,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20033
20153,四级寒冰石,2,0,1034,1000,"可镶嵌在装备上的宝石。",8740,87,1,0,99999,15,10,1,1,1,3,,20154,,3,,0,,5,,240,,-1,,874,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20034
20154,五级寒冰石,2,1,1035,1000,"可镶嵌在装备上的宝石。",13670,137,1,0,99999,20,13,1,1,1,3,,20155,,3,,0,,5,,300,,-1,,1367,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20155,六级寒冰石,2,1,1036,1000,"可镶嵌在装备上的宝石。",19680,197,1,0,99999,20,16,1,1,1,3,,20156,,3,,0,,5,,360,,-1,,1968,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20036
20156,七级寒冰石,2,1,1037,1000,"可镶嵌在装备上的宝石。",26780,268,1,0,99999,20,19,1,1,1,3,,20157,,3,,0,,5,,420,,-1,,2678,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20037
20157,八级寒冰石,2,2,1038,1000,"可镶嵌在装备上的宝石。",34990,350,1,0,99999,25,22,1,1,1,3,,20158,,3,,0,,5,,480,,-1,,3499,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20038
20158,九级寒冰石,2,2,1039,1000,"可镶嵌在装备上的宝石。",44280,443,1,0,99999,25,25,1,1,1,3,,20159,,3,,0,,5,,540,,-1,,4428,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20039
20159,十级寒冰石,2,2,1040,1000,"可镶嵌在装备上的宝石。",54680,547,1,0,99999,25,28,1,1,1,3,,-1,,3,,0,,5,,600,,-1,,5468,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20200,一级火晶石,2,0,1041,1000,"可镶嵌在装备上的宝石。",540,5,1,0,99999,15,1,1,1,1,4,,20201,,3,,0,,6,,60,,-1,,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,103003;103007,20041
20201,二级火晶石,2,0,1042,1000,"可镶嵌在装备上的宝石。",2180,22,1,0,99999,15,4,1,1,1,4,,20202,,3,,0,,6,,120,,-1,,218,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,104005,20042
20202,三级火晶石,2,0,1043,1000,"可镶嵌在装备上的宝石。",4920,49,1,0,99999,15,7,1,1,1,4,,20203,,3,,0,,6,,180,,-1,,492,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20043
20203,四级火晶石,2,0,1044,1000,"可镶嵌在装备上的宝石。",8740,87,1,0,99999,15,10,1,1,1,4,,20204,,3,,0,,6,,240,,-1,,874,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20044
20204,五级火晶石,2,1,1045,1000,"可镶嵌在装备上的宝石。",13670,137,1,0,99999,20,13,1,1,1,4,,20205,,3,,0,,6,,300,,-1,,1367,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20205,六级火晶石,2,1,1046,1000,"可镶嵌在装备上的宝石。",19680,197,1,0,99999,20,16,1,1,1,4,,20206,,3,,0,,6,,360,,-1,,1968,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20046
20206,七级火晶石,2,1,1047,1000,"可镶嵌在装备上的宝石。",26780,268,1,0,99999,20,19,1,1,1,4,,20207,,3,,0,,6,,420,,-1,,2678,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20047
20207,八级火晶石,2,2,1048,1000,"可镶嵌在装备上的宝石。",34990,350,1,0,99999,25,22,1,1,1,4,,20208,,3,,0,,6,,480,,-1,,3499,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20048
20208,九级火晶石,2,2,1049,1000,"可镶嵌在装备上的宝石。",44280,443,1,0,99999,25,25,1,1,1,4,,20209,,3,,0,,6,,540,,-1,,4428,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20049
20209,十级火晶石,2,2,1050,1000,"可镶嵌在装备上的宝石。",54680,547,1,0,99999,25,28,1,1,1,4,,-1,,3,,0,,6,,600,,-1,,5468,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20250,一级青龙石,2,0,1051,1000,"可镶嵌在装备上的宝石。",540,5,1,0,99999,15,1,1,1,1,5,,20251,,3,,0,,7,,60,,-1,,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,103004;103008,20051
20251,二级青龙石,2,0,1052,1000,"可镶嵌在装备上的宝石。",2180,22,1,0,99999,15,4,1,1,1,5,,20252,,3,,0,,7,,120,,-1,,218,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,104006,20052
20252,三级青龙石,2,0,1053,1000,"可镶嵌在装备上的宝石。",4920,49,1,0,99999,15,7,1,1,1,5,,20253,,3,,0,,7,,180,,-1,,492,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20053
20253,四级青龙石,2,0,1054,1000,"可镶嵌在装备上的宝石。",8740,87,1,0,99999,15,10,1,1,1,5,,20254,,3,,0,,7,,240,,-1,,874,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20054
20254,五级青龙石,2,1,1055,1000,"可镶嵌在装备上的宝石。",13670,137,1,0,99999,20,13,1,1,1,5,,20255,,3,,0,,7,,300,,-1,,1367,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20255,六级青龙石,2,1,1056,1000,"可镶嵌在装备上的宝石。",19680,197,1,0,99999,20,16,1,1,1,5,,20256,,3,,0,,7,,360,,-1,,1968,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20056
20256,七级青龙石,2,1,1057,1000,"可镶嵌在装备上的宝石。",26780,268,1,0,99999,20,19,1,1,1,5,,20257,,3,,0,,7,,420,,-1,,2678,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20057
20257,八级青龙石,2,2,1058,1000,"可镶嵌在装备上的宝石。",34990,350,1,0,99999,25,22,1,1,1,5,,20258,,3,,0,,7,,480,,-1,,3499,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20058
20258,九级青龙石,2,2,1059,1000,"可镶嵌在装备上的宝石。",44280,443,1,0,99999,25,25,1,1,1,5,,20259,,3,,0,,7,,540,,-1,,4428,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20059
20259,十级青龙石,2,2,1060,1000,"可镶嵌在装备上的宝石。",54680,547,1,0,99999,25,28,1,1,1,5,,-1,,3,,0,,7,,600,,-1,,5468,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20300,一级破魂石,2,0,1061,1000,"可镶嵌在装备上的宝石。",540,5,1,0,99999,15,1,1,1,1,6,,20301,,3,,0,,25,,5,,-1,,54,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20061
20301,二级破魂石,2,0,1062,1000,"可镶嵌在装备上的宝石。",2180,22,1,0,99999,15,4,1,1,1,6,,20302,,3,,0,,25,,10,,-1,,218,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20062
20302,三级破魂石,2,0,1063,1000,"可镶嵌在装备上的宝石。",4920,49,1,0,99999,15,7,1,1,1,6,,20303,,3,,0,,25,,15,,-1,,492,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20063
20303,四级破魂石,2,0,1064,1000,"可镶嵌在装备上的宝石。",8740,87,1,0,99999,15,10,1,1,1,6,,20304,,3,,0,,25,,20,,-1,,874,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20064
20304,五级破魂石,2,1,1065,1000,"可镶嵌在装备上的宝石。",13670,137,1,0,99999,20,13,1,1,1,6,,20305,,3,,0,,25,,25,,-1,,1367,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
20305,六级破魂石,2,1,1066,1000,"可镶嵌在装备上的宝石。",19680,197,1,0,99999,20,16,1,1,1,6,,20306,,3,,0,,25,,30,,-1,,1968,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20066
20306,七级破魂石,2,1,1067,1000,"可镶嵌在装备上的宝石。",26780,268,1,0,99999,20,19,1,1,1,6,,20307,,3,,0,,25,,35,,-1,,2678,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20067
20307,八级破魂石,2,2,1068,1000,"可镶嵌在装备上的宝石。",34990,350,1,0,99999,25,22,1,1,1,6,,20308,,3,,0,,25,,40,,-1,,3499,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20068
20308,九级破魂石,2,2,1069,1000,"可镶嵌在装备上的宝石。",44280,443,1,0,99999,25,25,1,1,1,6,,20309,,3,,0,,25,,45,,-1,,4428,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,20069
20309,十级破魂石,2,2,1070,1000,"可镶嵌在装备上的宝石。",54680,547,1,0,99999,25,28,1,1,1,6,,-1,,3,,0,,25,,50,,-1,,5468,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
#装备合成材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,铁力木,3,0,1220,1000,制作武器和鞋子的合成材料,1000,1,0,0,999,15,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,1005,
30001,桃木,3,1,1221,1000,制作武器和鞋子的合成材料,2000,1,0,0,999,20,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,3003;4005,
30002,樟木,3,2,1222,1000,制作武器和鞋子的合成材料,5000,1,0,0,999,25,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30003,紫檀,3,3,1223,1000,制作武器和鞋子的合成材料,8000,1,0,0,999,35,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30004,楠木,3,4,1224,1000,制作武器和鞋子的合成材料,10000,1,0,0,999,50,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30005,木棉,3,0,1225,1000,制作衣服和鞋子的合成材料,1000,10,0,0,999,15,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,101;1006,
30006,绢布,3,1,1226,1000,制作衣服和鞋子的合成材料,2000,20,0,0,999,20,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,2003;3007,
30007,绫罗,3,2,1227,1000,制作衣服和鞋子的合成材料,5000,50,1,0,999,25,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30008,绸缎,3,3,1228,1000,制作衣服和鞋子的合成材料,8000,80,1,0,999,35,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30009,玉帛,3,4,1229,1000,制作衣服和鞋子的合成材料,10000,100,1,0,999,50,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30010,烂石,3,0,1230,1000,制作项链和戒指的合成材料,1000,10,0,0,999,15,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,1001,
30011,斜石,3,1,1231,1000,制作项链和戒指的合成材料,2000,20,0,0,999,20,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,2005;3002;4001;4004,
30012,松石,3,2,1232,1000,制作项链和戒指的合成材料,5000,50,1,0,999,25,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30013,银沙,3,3,1233,1000,制作项链和戒指的合成材料,8000,80,1,0,999,35,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30014,月锡石,3,4,1234,1000,制作项链和戒指的合成材料,10000,100,1,0,999,50,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30015,铁矿石,3,0,1235,1000,制作武器的合成材料,1000,10,0,0,999,15,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,1004;2002,
30016,铜矿石,3,1,1236,1000,制作武器的合成材料,2000,20,0,0,999,20,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,3001;3006;4003;4008,
30017,银矿石,3,2,1237,1000,制作武器的合成材料,5000,50,1,0,999,25,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30018,金矿石,3,3,1238,1000,制作武器的合成材料,8000,80,1,0,999,35,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30019,翡翠,3,4,1239,1000,制作武器的合成材料,10000,100,1,0,999,50,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30020,粗线,3,0,1240,1000,制作衣服和项链的合成材料,1000,10,0,0,999,15,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,1002,
30021,细线,3,1,1241,1000,制作衣服和项链的合成材料,2000,20,0,0,999,20,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,2004;3008,
30022,百花线,3,2,1242,1000,制作衣服和项链的合成材料,5000,50,1,0,999,25,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30023,金丝线,3,3,1243,1000,制作衣服和项链的合成材料,8000,80,1,0,999,35,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30024,蚕丝线,3,4,1244,1000,制作衣服和项链的合成材料,10000,100,1,0,999,50,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30025,清水,3,0,1245,1000,制作武器的合成材料,1000,10,0,0,999,15,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,2001,
30026,铜水,3,1,1246,1000,制作武器的合成材料,2000,20,0,0,999,20,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,3005;4007,
30027,山泉水,3,2,1247,1000,制作武器的合成材料,5000,50,1,0,999,25,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30028,文荣精华,3,3,1248,1000,制作武器的合成材料,8000,80,1,0,999,35,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30029,罗汉精魄,3,4,1249,1000,制作武器的合成材料,10000,100,1,0,999,50,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30030,明金,3,0,1250,1000,制作项链和戒指的合成材料,1000,10,0,0,999,15,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,1003,
30031,销金,3,1,1251,1000,制作项链和戒指的合成材料,2000,20,0,0,999,20,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,2006;4002,
30032,镂金,3,2,1252,1000,制作项链和戒指的合成材料,5000,50,1,0,999,25,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30033,盘金,3,3,1253,1000,制作项链和戒指的合成材料,8000,80,1,0,999,35,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
30034,织金,3,4,1254,1000,制作项链和戒指的合成材料,10000,100,1,0,999,50,1,0,-1,0,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,-1,,,
